,kod,data,kolichestvo
806,ЦБ004467,2022-02-07 17:06:34,2
807,ЦБ011437,2022-02-07 17:06:34,3
809,ЦБ008081,2022-02-08 14:14:21,2
810,ЦБ012464,2022-02-08 14:14:21,1
811,ЦБ014590,2022-02-08 14:14:21,3
813,ЦБ007437,2022-02-22 15:53:11,2
814,ЦБ017324,2022-02-08 14:14:21,2
815,ЦБ008934,2022-03-02 12:27:16,1
816,ЦБ007375,2022-03-31 11:26:13,2
817,ЦБ010067,2022-02-08 15:54:22,20
819,ЦБ002287,2022-02-08 16:27:47,10
820,ЦБ002300,2022-02-08 16:27:47,20
821,ЦБ019937,2022-02-08 16:27:47,1
822,ЦБ018235,2022-02-08 16:29:05,1
823,ЦБ022430,2022-02-08 16:29:05,2
825,ЦБ019108,2022-02-08 16:31:07,1
827,ЦБ021788,2022-02-09 14:02:00,2
828,ЦБ007190,2022-02-21 16:37:36,1
